day,ticker,state,dir,K,fireTsMs,exitTsMs,entrySpot,hr,g7_gate,final_sys,occ,entry_atfire,pnl_atfire,confirmed,entry_confirm,pnl_confirm,pnl_nextexp,mfe_pct,mae_pct,t_peak_min,entry_vol,entry_iv,prem_pct,breakeven_bps,f1,f5,f15,onesided15,accel,gex_regime,d_wall_bps,d_flip_bps,pin,vixd15,daytype,trend_day,nfp,fomc,opex,big_open,gex_state,flow_agree5,flow_onesided,flow_extreme,premium_band,flag_afternoon,flag_posgex_noroom,flag_flow_exhausted,flag_flow_against,flag_pin,flag_breakeven,nflags
2026-06-01,QQQ,BULL_REVERSE,1,742,1780328100000,1780328700000,741.77,11.583333333333334,True,True,QQQ260601C00742000,1.38,-24.0,False,,,-23.0,0.0,-23.91304347826086,0.0,1582,0.2132,0.18604149534222197,18.6041495342222,-1344313.0,841221.0,-312039.0,0.01944827042032868,513431.5,0.5498383758723179,3.1006915890372784,360.89353842835357,False,-0.17999999999999794,flat,False,False,False,False,False,positive,True,False,False,good_0.5-2,False,True,False,False,False,False,1
2026-06-01,SPXW,BEAR_RUG,-1,7590,1780328700000,1780335600000,7589.83,11.75,False,False,SPXW260601P07590000,8.6,440.00000000000006,True,8.7,430.00000000000006,,86.04651162790698,-81.3953488372093,32.0,99,0.1317,0.11330952076660478,11.330952076660477,578313.0,2338510.0,18044144.0,0.3208611728502544,-6564528.0,0.7072582222984755,6.363778898868522,6.363778898868522,True,-0.1399999999999988,flat,False,False,False,False,False,positive,False,False,False,bad_2-10,False,True,False,True,True,False,3
2026-06-01,QQQ,BULL_REVERSE,1,741,1780331400000,1780335900000,741.23,12.5,True,True,QQQ260601C00741000,1.3,47.0,True,1.4,37.000000000000014,226.99999999999994,213.07692307692312,-11.538461538461549,75.0,2117,0.2021,0.17538415876313695,17.538415876313696,1102283.0,1121749.0,5058415.0,0.475932699341624,-799886.5,0.6126344246457888,10.38813863443171,286.4158223493385,True,-0.0799999999999983,flat,False,False,False,False,False,positive,True,True,False,good_0.5-2,False,True,True,False,True,False,3
2026-06-01,QQQ,BEAR_RUG,-1,742,1780331700000,1780333800000,741.73,12.583333333333334,False,False,QQQ260601P00742000,1.15,-23.99999999999999,True,1.35,-44.00000000000001,,24.347826086956527,-42.60869565217391,10.0,389,0.1904,0.15504294015342507,15.504294015342508,-1585965.0,-17805.0,1507683.0,0.1680592995068518,-1102129.5,0.4152099629222976,63.76983538484379,292.9637469159939,True,-0.15999999999999837,flat,False,False,False,False,False,positive,True,False,False,good_0.5-2,False,False,False,False,True,False,1
2026-06-01,SPXW,BEAR_RUG,-1,7595,1780333200000,1780337400000,7597.27,13.0,False,False,SPXW260601P07595000,6.4,200.0,True,6.9,-595.0,,57.812499999999986,-85.15625,9.0,833,0.1328,0.0842407864930429,8.424078649304288,-3144334.0,-28006317.0,-58044347.0,0.5091999906624418,-9150194.0,0.6842559198758785,16.15053828546364,3.593396048843286,True,-0.0600000000000005,flat,False,False,False,False,False,positive,True,True,True,bad_2-10,False,True,True,False,True,False,3
2026-06-01,QQQ,BEAR_RUG,-1,745,1780335900000,1780342800000,744.64,13.75,False,False,QQQ260601P00745000,1.12,53.99999999999998,False,,,,76.78571428571426,-33.03571428571429,112.0,782,0.2261,0.15040825096691018,15.04082509669102,388330.0,6797120.0,13866269.0,0.7501932118515676,2795076.0,0.030057870239916778,35.453373442200075,85.41039965620989,False,-0.13000000000000078,flat,False,False,False,False,False,neutral,False,True,False,good_0.5-2,True,False,True,True,False,False,3
2026-06-01,SPXW,BEAR_RUG,-1,7600,1780343700000,1780344000000,7598.74,15.916666666666666,False,False,SPXW260601P07600000,2.06,-136.0,False,,,,0.0,-66.01941747572816,0.0,2248,0.172,0.02710975767035061,2.710975767035061,637248.0,1993718.0,-348618.0,0.007905266508693462,4318104.0,0.7486882631883982,11.501906895090213,1.6581696439149363,True,0.09000000000000163,flat,False,False,False,False,False,positive,False,False,False,bad_2-10,False,True,False,True,True,False,3
2026-06-01,QQQ,BULL_REVERSE,1,743,1780343700000,1780344000000,742.71,15.916666666666666,False,False,QQQ260601C00743000,0.15,-6.0,False,,,,6.666666666666673,-40.0,4.0,273,0.433,0.0201963081148766,2.01963081148766,246014.0,1149094.0,-4142618.0,0.38465598295955217,4031730.5,0.43102963966682367,71.22564661846431,413.485748138574,True,0.09000000000000163,flat,False,False,False,False,False,positive,True,False,False,other,False,False,False,False,True,False,1
2026-06-01,SPY,BULL_REVERSE,1,758,1780343700000,1780344000000,758.23,15.916666666666666,False,False,SPY260601C00758000,0.34,15.999999999999998,True,0.38,12.0,,58.82352941176471,0.0,4.0,1231,0.3465,0.044841275074845366,4.484127507484537,-2583875.0,-4915618.0,-3580140.0,0.28062880970066073,-5391279.0,-0.47570494550158526,36.532450575682596,16.221990688841355,False,0.09000000000000163,flat,False,False,False,False,False,negative,False,False,False,other,False,False,False,True,False,False,1
2026-06-01,SPY,BEAR_RUG,-1,758,1780344000000,1780344000000,758.39,16.0,False,False,SPY260601P00758000,0.06,0.0,False,,,,0.0,0.0,0.0,706,4.0737,0.007911496723321775,0.7911496723321775,-700685.0,766934.0,-2746846.0,0.23661573156434423,2908090.5,-0.36997497878222957,5.142472870158973,123.81492371998557,False,0.019999999999999574,flat,False,False,False,False,False,negative,False,False,False,other,False,False,False,True,False,False,1
