feature,n,ev_lo,ev_mid,ev_hi,gap,best,mono,holds4
gex_curv,537,-4.09322134153555,-9.93994588530324,6.1865589977736715,10.279780339309221,hi,False,4
d_flip_bps,511,1.5925382157353845,-5.083381417448479,-7.707951548741788,9.300489764477172,lo,True,4
wall_dn_share,537,-1.36885933085816,0.631279452298392,-10.252349768516362,8.883490437658203,lo,False,4
entry_vol,537,-6.270562415801528,4.723602993390506,-0.305866745283019,5.964695670518509,hi,False,4
wall_dn_isolation,537,-0.43182597816655555,-4.334346866988612,-4.987895068484064,4.556069090317508,lo,True,4
fwd_wall_thick,537,-3.1873912032527465,-1.143872247234311,-7.083779427509206,3.896388224256459,lo,False,4
hhi,537,-5.963564675405855,3.5532844113015836,-7.185887954979979,1.2223232795741241,lo,False,4
rev_gex_pct,483,-2.0341214429852466,3.7486180989553954,-14.592662056030948,12.5585406130457,lo,False,3
vex_curv,537,-5.375251189026046,-5.300153925089789,4.385938213361741,9.761189402387787,hi,True,3
f1,537,-9.372292027729635,2.9253018507011728,-0.7181432641972035,8.654148763532431,hi,False,3
entry_iv,537,5.958377118285804,-11.547564638286758,-2.1308833455006253,8.08926046378643,lo,False,3
implied_remaining_bps,536,-9.616192034283563,-0.9322865554465164,-3.466255059006549,6.149936975277013,hi,False,3
pin_score,537,-0.3579865965961126,-6.398573245340096,-6.214700193423599,5.856713596827486,lo,False,3
d_wall_bps,537,-8.188561922164345,-0.9314155259068917,-3.229988517242657,4.9585734049216885,hi,False,3
vixd15,434,0.584672478381123,-16.463221138589773,-4.287569005372656,4.872241483753779,lo,False,3
wall_up_dist_bps,537,-3.5402958886629183,-8.755942574723464,1.202620535376387,4.742916424039305,hi,False,3
rv_before_bps,448,0.5066179060911575,-10.308533829055943,-3.91778681146949,4.424404717560647,lo,False,3
top3_share,537,-6.324931319550823,-0.02815725340557037,-2.5562280838898435,3.76870323566098,hi,False,3
cliff_dist_bps,537,2.0945609956052524,-10.199780122823112,-1.4618989405052973,3.55645993611055,lo,False,3
top1_share,537,-3.1793610859384382,-2.1548355181795693,-5.58144102659232,2.402079940653882,lo,False,3
fwd_wall_share,537,-4.167585603403503,-4.018002489706023,-2.137861759187309,2.029723844216194,hi,True,3
behind_mass,537,-5.402400562702788,3.925369716005758,-10.376710189292185,4.974309626589397,lo,False,2
slope_asym,537,-4.27853772784359,-6.497455325929659,0.6601562856178947,4.938694013461484,hi,False,2
fwd_wall_dist_bps,537,-2.9207503658698832,0.38550872695380706,-7.0269302231873025,4.10617985731742,lo,False,2
move_vs_implied,536,-5.891991231760512,3.223134127075869,-9.656676093722846,3.7646848619623334,lo,False,2
density_50bps,537,-5.805583191900275,2.7888688615604584,-9.085605656752598,3.2800224648523235,lo,False,2
opposing_mass,537,-5.093401015228424,-3.661865232409278,-2.1475848472046186,2.9458161680238053,hi,True,2
open_field,537,-4.0711187185876945,0.6817197416244515,-6.538590630843734,2.4674719122560393,lo,False,2
f15,537,-4.333634978459443,-4.357730912371716,-2.1447539153263504,2.188881063133093,hi,False,2
wall_dn_dist_bps,537,-10.252108222066058,9.943659563147843,-8.449750426101778,1.80235779596428,hi,False,2
wall_range_bps,537,-7.238692545553013,2.218557416890895,-5.445065176908752,1.7936273686442608,hi,False,2
grad_dn,537,-6.699941429626424,3.913497519798103,-7.567062818336163,0.8671213887097391,lo,False,2
accel_zone_gex,537,-0.9845849306063349,-8.645217771941343,-0.3399915002124947,0.6445934303938402,hi,False,2
wall_up_thick,537,-5.060529201324665,0.4396947768992653,-5.281057963187318,0.2205287618626528,lo,False,2
grad_up,537,-7.241583838093354,5.376964241816841,-7.446226690740727,0.20464285264737292,lo,False,2
